"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","36.67","47.671","102.676","84.341","91.675","150.347","348.365","564.718","990.09","1257.781","462.042","425.372","374.034","330.03","429.039","707.731","403.37","465.709","491.378","407.037","143.013","106.343","293.36","84.341","146.68","249.356","249.356","275.025","286.026","286.026","300.694","289.693","289.693","304.361","311.695","322.696","322.696","337.364","333.697","348.365","344.698","344.698","363.033","388.702","407.037","410.704","425.372","469.376","480.377","509.713","524.381","513.38","","","","",
"Australia","AUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","88202.351","90589.568","94912.961","101029.517","108979.573","120966.996","120332.605","129265.417","134622.904","142257.598","147618.752","152774.554","157486.649","170992.21","172356.334","175883.988","174244.839","187787.07","202015.03","205069.641","220746.066","230360.94","234119.615","225003.453","236594.84","241229.928","239964.813","256106.947","261145.405","277771.583","263847.984","261574.444","268068.701","277478.223","278204.289","281940.962","302241.474","305838.801","316964.479","325380.244","329479.95","324877.865","341390.366","336355.575","342776.492","350268.173","357946.871","363795.736","376197.53","382464.433","368170.467","369039.546","","","","",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","30821.135","31862.563","33905.082","36992.696","38943.54","38188.138","39258.902","39966.633","42350.183","44693.396","50692.608","52155.741","56193.108","60164.469","57469.224","54392.611","58415.31","56218.777","57483.892","61594.599","52306.088","56130.769","53868.23","51983.392","54550.292","54700.639","54080.916","57744.249","53340.182","54117.586","57722.247","61638.603","56688.153","57135.527","57095.19","59827.105","63226.414","62705.7","63717.792","61917.295","62188.653","65785.98","66977.755","72074.885","72272.903","74278.752","72214.231","69724.338","68752.583","63483.104","67975.179","65202.927","","","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57678.243","49365.154","42672.879","33479.71","31510.531","29809.043","31675.546","28576.931","29508.349","28771.282","29614.692","30615.783","32089.917","34337.788","39167.227","30509.44","35503.894","31902.9","30678.122","33457.708","","","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","44.004","47.671","47.671","36.67","47.671","47.671","55.005","73.34","62.339","73.34","73.34","73.34","91.675","77.007","88.008","99.009","102.676","110.01","146.68","157.681","157.681","205.352","220.02","231.021","242.022","267.691","256.69","300.694","293.36","337.364","308.028","326.363","333.697","322.696","319.029","304.361","293.36","286.026","289.693","205.352","212.686","161.348","198.018","154.014","187.017","187.017","190.684","190.684","194.351","209.019","","","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","91000.272","92793.435","98117.919","105781.949","103662.423","105440.918","105206.23","107472.436","118557.777","123618.237","125620.419","121528.047","130834.893","138872.957","135220.625","122100.099","130009.818","126570.172","135855.016","140233.414","135301.299","124021.607","117553.019","101630.905","105422.583","104472.83","102874.018","103116.04","100354.789","107461.435","106049.64","110959.753","111968.178","107652.119","112334.878","112327.544","118059.065","115341.818","118374.427","115085.128","114894.444","114315.058","107098.402","114564.414","110908.415","108297.511","106775.706","103215.049","103882.443","104021.789","109093.25","97765.887","","","","",
"Benin","BEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","161.348","128.345","135.679","121.011","143.013","150.347","113.677","143.013","154.014","201.685","282.359","293.36","388.702","381.368","407.037","443.707","260.357","297.027","363.033","366.7","517.047","429.039","502.379","462.042","513.38","744.401","693.063","539.049","561.051","641.725","715.065","828.742","905.749","1133.103","1265.115","1327.454","1265.115","1217.444","1213.777","1562.142","1598.812","1815.165","2079.189","2354.214","2508.228","2394.551","3872.352","4495.742","4488.408","4752.432","5152.135","4987.12","","","","",
"Burkina Faso","BFA","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","91.675","84.341","88.008","110.01","102.676","102.676","102.676","102.676","121.011","143.013","150.347","161.348","168.682","205.352","220.02","209.019","249.356","348.365","407.037","432.706","557.384","575.719","594.054","465.709","476.71","480.377","517.047","553.717","821.408","586.72","627.057","630.724","627.057","645.392","627.057","707.731","806.74","861.745","931.418","1041.428","997.424","1004.758","1078.098","1103.767","1125.769","1360.457","1646.483","1697.821","1664.818","1683.153","1932.509","","","","",
"Bangladesh","BGD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","3509.319","4554.414","4660.757","4869.776","5570.173","5812.195","6017.547","6648.271","7638.361","7931.721","8599.115","8236.082","9123.496","10234.597","11463.042","11862.745","13545.898","13454.223","15533.412","15940.449","17748.28","17407.249","18969.391","22816.074","24029.851","25063.945","24048.186","25236.294","27869.2","32456.617","33707.064","33883.08","39750.28","37553.747","48136.709","46886.262","49581.507","52790.132","56152.771","57069.521","","","","",
"Bulgaria","BGR","CO2 emissions (kt)","EN.ATM.CO2E.KT","22295.36","25973.361","30736.794","34411.128","42863.563","46317.877","48767.433","55166.348","59526.411","66376.367","61238.9","64300.845","66171.015","68825.923","71260.811","73061.308","73116.313","75969.239","81411.067","79152.195","77487.377","80343.97","90131.193","90365.881","87366.275","89540.806","91528.32","91634.663","87289.268","86739.218","75763.887","58176.955","54458.617","68077.855","54344.94","58004.606","56559.808","51616.692","48998.454","43981.998","43530.957","46453.556","44634.724","47307.967","46787.253","47909.355","48943.449","52188.744","50791.617","42654.544","44128.678","49339.485","","","","",
"Bahrain","BHR","CO2 emissions (kt)","EN.ATM.CO2E.KT","575.719","1771.161","1591.478","1195.442","1598.812","1228.445","649.059","1004.758","1103.767","1272.449","2592.569","3039.943","3681.668","5522.502","5405.158","5753.523","6574.931","7469.679","7766.706","8133.406","7887.717","8525.775","9838.561","8228.748","9207.837","10194.26","11012.001","11430.039","12163.439","11738.067","12665.818","12335.788","11455.708","15702.094","15969.785","16021.123","15621.42","17319.241","18404.673","18019.638","18643.028","13927.266","15698.427","16468.497","17509.925","19207.746","18830.045","22013.001","24011.516","21704.973","23252.447","23439.464","","","","",
"Bahamas, The","BHS","CO2 emissions (kt)","EN.ATM.CO2E.KT","410.704","546.383","726.066","707.731","1085.432","1316.453","1092.766","1705.155","1631.815","1745.492","2574.234","6732.612","6490.59","7873.049","7389.005","8254.417","6464.921","9717.55","6607.934","6930.63","7990.393","2801.588","2262.539","2016.85","1855.502","1510.804","1411.795","1422.796","1540.14","1947.177","1950.844","1782.162","1793.163","1701.488","1686.82","1683.153","1668.485","1364.124","1679.486","1675.819","1668.485","1569.476","1576.81","1518.138","1723.49","1598.812","1521.805","1547.474","1045.095","1642.816","2464.224","1906.84","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4136.376","2948.268","3230.627","3428.645","4257.387","8393.763","10593.963","10377.61","13787.92","13362.548","14301.3","14488.317","15610.419","16204.473","17564.93","17590.599","20087.826","20615.874","21147.589","23747.492","","","","",
"Belarus","BLR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87487.286","74451.101","65914.325","62118.98","60157.135","59519.077","57597.569","55819.074","53468.527","52595.781","52390.429","53721.55","58037.609","59064.369","61829.287","60281.813","62815.71","60292.814","62221.656","63303.421","","","","",
"Belize","BLZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","36.67","69.673","62.339","84.341","84.341","80.674","121.011","102.676","135.679","121.011","143.013","157.681","146.68","154.014","176.016","176.016","198.018","216.353","209.019","190.684","183.35","172.349","172.349","172.349","190.684","205.352","227.354","249.356","300.694","311.695","359.366","355.699","377.701","374.034","377.701","308.028","388.702","370.367","601.388","689.396","711.398","366.7","385.035","396.036","414.371","432.706","458.375","451.041","469.376","553.717","550.05","","","","",
"Bermuda","BMU","CO2 emissions (kt)","EN.ATM.CO2E.KT","157.681","176.016","157.681","150.347","201.685","179.683","201.685","212.686","223.687","198.018","227.354","231.021","253.023","425.372","443.707","458.375","469.376","454.708","425.372","462.042","436.373","388.702","396.036","451.041","443.707","451.041","425.372","575.719","649.059","784.738","597.721","509.713","407.037","480.377","473.043","465.709","476.71","476.71","462.042","495.045","495.045","495.045","524.381","509.713","671.061","443.707","520.714","517.047","388.702","465.709","476.71","392.369","","","","",
"Bolivia","BOL","CO2 emissions (kt)","EN.ATM.CO2E.KT","1004.758","1041.428","1100.1","1213.777","1481.468","1510.804","1690.487","1892.172","2178.198","2548.565","2486.226","3061.945","3571.658","3457.981","3516.653","4059.369","4580.083","4481.074","5027.457","4737.764","4668.091","4792.769","4349.062","4290.39","4041.034","4125.375","3777.01","4030.033","4308.725","4994.454","5526.169","5797.527","6673.94","8063.733","8936.479","9460.86","10014.577","11026.669","11455.708","11243.022","10223.596","9823.893","9567.203","14128.951","13083.856","12068.097","14730.339","12445.798","13556.899","14246.295","15350.062","16120.132","","","","",
"Brazil","BRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","46908.264","49203.806","53695.881","55617.389","56735.824","56398.46","64304.512","66193.017","77421.371","84315.331","93761.523","102635.663","114362.729","132463.041","143456.707","151164.741","155154.437","162961.48","176925.416","188322.452","187090.34","171806.284","172176.651","166632.147","168806.678","181248.809","198883.412","207530.198","209363.698","214024.455","208886.988","219330.604","220705.729","230738.641","242154.012","258347.484","284782.887","300547.32","312289.054","320173.104","327983.814","337433.673","332266.87","321621.569","337826.042","347308.904","347668.27","363212.683","387675.24","367147.374","419754.156","439412.943","","","","",
"Barbados","BRB","CO2 emissions (kt)","EN.ATM.CO2E.KT","172.349","194.351","260.357","190.684","179.683","205.352","267.691","337.364","440.04","480.377","429.039","484.044","502.379","480.377","491.378","568.385","531.715","590.387","630.724","601.388","674.728","685.729","645.392","685.729","748.068","847.077","916.75","942.419","946.086","990.09","1074.431","1206.443","979.089","1114.768","748.068","828.742","850.744","902.082","1140.437","1210.11","1188.108","1221.111","1228.445","1268.782","1294.451","1353.123","1371.458","1430.13","1628.148","1624.481","1518.138","1565.809","","","","",
"Brunei Darussalam","BRN","CO2 emissions (kt)","EN.ATM.CO2E.KT","333.697","304.361","370.367","355.699","341.031","333.697","491.378","440.04","429.039","487.711","8210.413","7517.35","9460.86","9981.574","8184.744","7080.977","6024.881","6395.248","9541.534","7440.343","6882.959","1470.467","2093.857","2706.246","1917.841","2596.236","2299.209","3318.635","5716.853","6347.577","6211.898","5548.171","5504.167","5273.146","5001.788","5097.13","5170.47","5361.154","5570.173","4231.718","6105.555","5753.523","4855.108","4877.11","4847.774","4620.42","4272.055","9053.823","10029.245","8573.446","8602.782","9743.219","","","","",
"Bhutan","BTN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","3.667","3.667","3.667","3.667","3.667","3.667","3.667","7.334","11.001","22.002","22.002","25.669","33.003","29.336","51.338","62.339","55.005","102.676","110.01","62.339","128.345","187.017","216.353","187.017","212.686","249.356","304.361","396.036","385.035","385.035","399.703","388.702","418.038","377.701","308.028","396.036","392.369","392.369","421.705","388.702","487.711","561.051","","","","",
"Botswana","BWA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","22.002","51.338","88.008","187.017","594.054","781.071","832.409","942.419","986.423","1008.425","1100.1","1030.427","1045.095","1158.772","1323.787","1536.473","1617.147","1774.828","2178.198","2148.862","3274.631","3498.318","3494.651","3523.987","3138.952","3212.292","3832.015","3545.989","4275.722","4334.394","4484.741","4264.721","4378.398","4616.753","4646.089","4701.094","4979.786","4400.4","5232.809","4855.108","","","","",
"Central African Republic","CAF","CO2 emissions (kt)","EN.ATM.CO2E.KT","88.008","88.008","73.34","73.34","73.34","88.008","84.341","91.675","183.35","187.017","209.019","183.35","168.682","161.348","113.677","102.676","128.345","128.345","146.68","102.676","106.343","135.679","143.013","146.68","150.347","161.348","161.348","260.357","231.021","249.356","198.018","205.352","216.353","223.687","234.688","234.688","234.688","245.689","249.356","264.024","267.691","245.689","245.689","234.688","212.686","212.686","227.354","234.688","234.688","234.688","264.024","286.026","","","","",
"Canada","CAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","192895.201","194182.318","207185.5","211109.19","237801.283","252153.921","259319.239","281896.958","303539.592","307400.943","341485.708","352607.719","381136.979","381621.023","389970.782","397143.434","399317.965","408151.768","415896.472","442067.851","443233.957","430003.421","414811.04","408687.15","425595.687","422079.034","405053.153","431349.21","456053.789","463274.112","435181.225","426780.128","440608.385","445665.178","456955.871","467527.832","479463.917","494601.293","506456.704","515462.856","534483.585","527926.989","519335.208","553185.285","552349.209","563071.517","550233.35","560801.644","544105.793","507424.792","496104.763","485463.129","","","","",
"Central Europe and the Baltics","CEB","CO2 emissions (kt)","EN.ATM.CO2E.KT","467450.028072629","492615.811930309","527332.948268892","570233.905636973","612557.935673992","631585.853759549","651698.181550711","677985.768552121","723926.278247738","778050.608972852","809658.748027383","834220.894955341","871106.850705136","907533.401357974","936962.037161829","999724.252093665","1058960.80000235","1102176.93063462","1158934.82778764","1171151.79821483","1202610.36351686","1129244.43791691","1158101.48830944","1168908.19192737","1167423.13824186","1188550.43078211","1209955.50314843","1243470.7075473","1200815.4784869","1166509.66996768","979868.336449641","908900.932809378","863633.505","857824.977","806288.959","830124.459","845346.176","822273.412","775152.462","730888.105","715838.737","734507.434","718625.657","741856.102","735636.87","740609.322","766711.028","767004.388","751870.679","684251.199","715050.332","719960.445","","","","",
"Switzerland","CHE","CO2 emissions (kt)","EN.ATM.CO2E.KT","19523.108","20388.52","24154.529","29104.979","28166.227","30370.094","31528.866","32562.96","36028.275","38096.463","40296.663","41943.146","42973.573","46262.872","41481.104","39097.554","40483.68","41085.068","42218.171","39911.628","40538.685","38859.199","36629.663","40069.309","39174.561","39827.287","42295.178","40252.659","40711.034","39467.921","42610.54","42705.882","42793.89","40751.371","41323.423","39225.899","39885.959","41466.436","41704.791","40700.033","39049.883","42962.572","40718.368","40204.988","40392.005","41374.761","41877.14","38019.456","40392.005","41602.115","38752.856","36596.66","","","","",
"Channel Islands","CHI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions (kt)","EN.ATM.CO2E.KT","13490.893","14473.649","16725.187","17355.911","17524.593","17766.615","18793.375","19259.084","21224.596","22555.717","24664.242","27095.463","28191.896","27652.847","25955.026","23014.092","24103.191","23109.434","22948.086","24862.26","25265.63","24554.232","20615.874","20839.561","22200.018","21503.288","22247.689","22673.061","26926.781","32386.944","33314.695","31323.514","32474.952","34627.481","38103.797","41745.128","48499.742","56394.793","57641.573","61513.925","58815.013","53549.201","55335.03","55602.721","60054.459","61818.286","64814.225","71638.512","71851.198","66805.406","72258.235","79408.885","","","","",
"China","CHN","CO2 emissions (kt)","EN.ATM.CO2E.KT","780726.302","552066.85","440359.029","436695.696","436923.05","475972.933","522789.522","433234.048","468928.626","577237.138","771617.474","876633.02","931575.681","968542.708","988014.478","1145607.47","1196193.735","1310310.775","1462168.579","1494859.884","1467192.369","1451501.276","1580260.647","1667029.201","1814908.31","1966553.428","2068969.071","2209708.531","2369501.723","2408540.605","2460744.017","2584538.27","2695982.067","2878694.009","3058241.33","3320285.15","3463089.131","3469510.048","3324344.519","3318055.614","3405179.867","3487566.356","3694242.143","4525177.009","5288166.032","5790016.984","6414463.08","6791804.714","7035443.861","7692210.895","8256969.232","9019518.215","","","","",
"Cote d'Ivoire","CIV","CO2 emissions (kt)","EN.ATM.CO2E.KT","462.042","553.717","586.72","623.39","762.736","1173.44","1294.451","1488.802","1763.827","2086.523","2442.222","2706.246","3014.274","3208.625","3560.657","3989.696","3964.027","4055.702","4818.438","5423.493","6222.899","4466.406","6109.222","4840.44","5405.158","7326.666","5966.209","7682.365","9160.166","8522.108","5797.527","5636.179","4624.087","5892.869","5251.144","7132.315","8379.095","8173.743","6912.295","6266.903","6791.284","7726.369","7286.329","5460.163","7664.03","7825.378","6996.636","6882.959","6871.958","5856.199","5885.535","6446.586","","","","",
"Cameroon","CMR","CO2 emissions (kt)","EN.ATM.CO2E.KT","271.358","282.359","289.693","300.694","337.364","311.695","344.698","458.375","506.046","572.052","638.058","810.407","861.745","898.415","975.422","1162.439","1092.766","1565.809","2002.182","1829.833","3905.355","5342.819","6343.91","6589.599","6057.884","6475.922","2005.849","1855.502","2211.201","7638.361","1738.158","1111.101","3795.345","3898.021","3817.347","4363.73","4602.085","3215.959","3208.625","3080.28","3432.312","3421.311","3417.644","3795.345","3956.693","3696.336","3861.351","5834.197","5544.504","6673.94","6706.943","5661.848","","","","",
"Congo, Rep.","COG","CO2 emissions (kt)","EN.ATM.CO2E.KT","223.687","267.691","238.355","234.688","267.691","245.689","308.028","322.696","451.041","502.379","572.052","685.729","663.727","1221.111","1624.481","1100.1","1235.779","480.377","322.696","348.365","407.037","473.043","1345.789","1144.104","1140.437","1279.783","1067.097","1323.787","1499.803","1507.137","1188.108","1265.115","1573.143","1543.807","2148.862","1565.809","1716.156","2343.213","777.404","821.408","1048.762","766.403","575.719","916.75","949.753","1239.446","1118.435","1213.777","1309.119","1705.155","1925.175","2247.871","","","","",
"Colombia","COL","CO2 emissions (kt)","EN.ATM.CO2E.KT","16409.825","18217.656","19442.434","21257.599","21708.64","22885.747","23501.803","24715.58","26604.085","28048.883","28404.582","30326.09","31481.195","33699.73","36479.316","35896.263","38089.129","39354.244","41682.789","44433.039","44356.032","44458.708","45914.507","49449.495","48980.119","48378.731","49101.13","50487.256","52445.434","53233.839","57337.212","57120.859","62049.307","64022.153","67571.809","59614.419","60527.502","64909.567","65976.664","56512.137","57923.932","56273.782","55661.393","57421.553","55071.006","60945.54","62940.388","62430.675","65158.923","67432.463","78583.81","72423.25","","","","",
"Comoros","COM","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","11.001","11.001","14.668","18.335","18.335","18.335","18.335","29.336","29.336","29.336","29.336","29.336","33.003","40.337","40.337","29.336","22.002","47.671","47.671","47.671","47.671","47.671","55.005","51.338","58.672","62.339","62.339","77.007","77.007","77.007","77.007","77.007","80.674","66.006","66.006","73.34","80.674","84.341","88.008","91.675","99.009","102.676","110.01","121.011","117.344","121.011","121.011","132.012","157.681","","","","",
"Cabo Verde","CPV","CO2 emissions (kt)","EN.ATM.CO2E.KT","22.002","22.002","18.335","14.668","29.336","25.669","22.002","18.335","29.336","36.67","36.67","36.67","51.338","62.339","66.006","77.007","73.34","80.674","209.019","249.356","121.011","33.003","36.67","36.67","84.341","84.341","58.672","80.674","73.34","80.674","88.008","91.675","102.676","102.676","110.01","113.677","139.346","143.013","154.014","172.349","187.017","209.019","245.689","253.023","264.024","293.36","308.028","370.367","286.026","304.361","293.36","425.372","","","","",
"Costa Rica","CRI","CO2 emissions (kt)","EN.ATM.CO2E.KT","491.378","491.378","550.05","601.388","674.728","847.077","993.757","876.413","1037.761","1147.771","1250.447","1529.139","1763.827","2046.186","1906.84","2038.852","2086.523","2614.571","2922.599","2794.254","2464.224","2251.538","2086.523","2104.858","2002.182","2266.206","2607.237","2757.584","2940.934","2973.937","2955.602","3336.97","3791.678","3953.026","5269.479","4866.109","4748.765","4987.12","5317.15","5522.502","5474.831","5760.857","6325.575","6626.269","6930.63","6868.291","7099.312","8122.405","8327.757","7601.691","7568.688","7843.713","","","","",
"Caribbean small states","CSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","5878.201","8804.467","11771.07","5984.544","10652.635","11917.75","11756.402","14026.275","14026.275","14869.685","20960.572","25060.278","25580.992","30670.788","29482.68","31583.871","34766.827","38606.176","37091.705","37524.411","38837.197","32566.627","31620.541","28639.27","28899.627","31972.573","27894.869","29240.658","27146.801","29915.386","31994.575","36578.325","36207.958","32544.625","35848.592","38309.149","39585.265","37392.399","37216.383","41118.071","42713.216","44521.047","45918.174","47106.282","50395.581","48910.446","67106.1","70853.774","67480.134","66468.042","68576.567","66849.41","","","","",
"Cuba","CUB","CO2 emissions (kt)","EN.ATM.CO2E.KT","13699.912","12181.774","14169.288","13039.852","14293.966","14609.328","15185.047","15749.765","16035.791","17260.569","18672.364","19607.449","20799.224","22398.036","22911.416","27066.127","27223.808","29402.006","30689.123","31712.216","31400.521","32749.977","34554.141","30843.137","32603.297","32577.628","33567.718","33952.753","35635.906","35738.582","33494.378","29655.029","31385.853","29380.004","32247.598","25709.337","26996.454","24649.574","24499.227","25331.636","26083.371","25452.647","26090.705","25485.65","25005.273","26006.364","27407.158","26794.769","30443.434","29897.051","38360.487","35921.932","","","","",
"Curacao","CUW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","11.001","11.001","11.001","18.335","14.668","22.002","44.004","36.67","44.004","55.005","58.672","55.005","58.672","69.673","73.34","95.342","95.342","165.015","157.681","165.015","172.349","187.017","194.351","205.352","216.353","227.354","260.357","253.023","275.025","311.695","333.697","366.7","366.7","388.702","407.037","425.372","421.705","454.708","454.708","469.376","480.377","462.042","480.377","484.044","583.053","594.054","561.051","564.718","583.053","","","","",
"Cyprus","CYP","CO2 emissions (kt)","EN.ATM.CO2E.KT","887.414","865.412","905.749","986.423","1001.091","1151.438","1243.113","1364.124","1624.481","1672.152","1705.155","1884.838","2405.552","2500.894","1925.175","1980.18","2464.224","2669.576","2808.922","3003.273","3208.625","3047.277","3102.282","3098.615","3182.956","3102.282","3545.989","4121.708","4129.042","4341.728","4653.423","4741.431","5276.813","5485.832","5636.179","5551.838","5764.524","5885.535","6391.581","6475.922","6849.956","6846.289","7022.305","7748.371","7334","7502.682","7788.708","8188.411","8540.443","8111.404","7708.034","7521.017","","","","",
